symbol,date,direction,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,risk_points,pnl_points,rr_realized,risk_amount,pnl_amount,score,exit_reason,setup_notes
NIFTY,2025-12-09,BULLISH,2025-12-09 10:15:00,2025-12-09 12:05:00,25831.7,25881.7,25726.7084,25881.7,104.9916,25.0,2.5,650.0,1625.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bull_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-10,BEARISH,2025-12-10 10:45:00,2025-12-10 10:55:00,25890.95,25840.95,25948.9445,25840.95,57.9945,25.0,2.5,650.0,1625.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bear_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-11,BULLISH,2025-12-11 10:05:00,2025-12-11 10:15:00,25771.55,25821.55,25694.1614,25821.55,77.3886,25.0,2.5,650.0,1625.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bull_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-12,BEARISH,2025-12-12 10:05:00,2025-12-12 11:45:00,25980.1,25995.9184,26028.549,25930.1,48.449,-10.0,-1.0,650.0,-650.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bear_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-15,BULLISH,2025-12-15 09:55:00,2025-12-15 11:50:00,25951.6,26001.6,25903.4524,26001.6,48.1476,25.0,2.5,650.0,1625.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bull_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-16,BULLISH,2025-12-16 13:35:00,2025-12-16 14:15:00,25908.05,25869.1546,25869.1546,25958.05,38.8954,-10.0,-1.0,650.0,-650.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bull_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-18,BULLISH,2025-12-18 10:10:00,2025-12-18 10:20:00,25791.15,25841.15,25725.0104,25841.15,66.1396,25.0,2.5,650.0,1625.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bull_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-19,BEARISH,2025-12-19 11:05:00,2025-12-19 12:45:00,25946.75,25943.6837,25980.5473,25896.75,33.7973,-10.0,-1.0,650.0,-650.0,100,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bear_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2025-12-24,BEARISH,2025-12-24 10:45:00,2025-12-24 12:30:00,26207.85,26207.1542,26237.7104,26157.85,29.8604,-10.0,-1.0,650.0,-650.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bear_ratio_spread;Ratio;Mean-Reverting Grind
NIFTY,2026-01-01,BEARISH,2026-01-01 09:55:00,2026-01-01 12:45:00,26157.2,26155.7109,26198.8579,26107.2,41.6579,-10.0,-1.0,650.0,-650.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=1;strike_step=50.0;margin=120000.0;bear_ratio_spread;Ratio;Mean-Reverting Grind
