symbol,date,direction,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,risk_points,pnl_points,rr_realized,risk_amount,pnl_amount,score,exit_reason,setup_notes
NIFTY,2025-12-09,BULLISH,2025-12-09 10:15:00,2025-12-09 14:20:00,25831.7,25838.5377,25726.7084,26015.4353,104.9916,27.9322,0.266,1000.0,266.04,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2025-12-10,BEARISH,2025-12-10 10:45:00,2025-12-10 12:35:00,25890.95,25789.4595,25948.9445,25789.4595,57.9945,101.4905,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2025-12-11,BULLISH,2025-12-11 10:05:00,2025-12-11 12:25:00,25771.55,25906.98,25694.1614,25906.98,77.3886,135.43,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2025-12-12,BEARISH,2025-12-12 10:05:00,2025-12-12 11:45:00,25980.1,25995.9184,26028.549,25895.3142,48.449,-13.0531,-0.2694,1000.0,-269.42,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2025-12-15,BULLISH,2025-12-15 09:55:00,2025-12-15 13:10:00,25951.6,26035.8583,25903.4524,26035.8583,48.1476,84.2583,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2025-12-16,BULLISH,2025-12-16 13:35:00,2025-12-16 14:15:00,25908.05,25869.1546,25869.1546,25976.117,38.8954,-38.8954,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2025-12-18,BULLISH,2025-12-18 10:10:00,2025-12-18 14:00:00,25791.15,25832.512,25725.0104,25906.8942,66.1396,46.2748,0.6997,1000.0,699.65,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2025-12-19,BEARISH,2025-12-19 11:05:00,2025-12-19 12:45:00,25946.75,25943.6837,25980.5473,25887.6047,33.7973,6.3355,0.1875,1000.0,187.46,100,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2025-12-24,BEARISH,2025-12-24 10:45:00,2025-12-24 12:30:00,26207.85,26207.1542,26237.7104,26155.5943,29.8604,3.6981,0.1238,1000.0,123.84,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-01-01,BEARISH,2026-01-01 09:55:00,2026-01-01 12:45:00,26157.2,26155.7109,26198.8579,26084.2987,41.6579,7.0864,0.1701,1000.0,170.11,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-01-05,BEARISH,2026-01-05 11:20:00,2026-01-05 14:00:00,26320.75,26226.6594,26374.516,26226.6594,53.766,94.0906,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-01-07,BULLISH,2026-01-07 10:05:00,2026-01-07 12:40:00,26162.9,26095.3419,26095.3419,26281.1268,67.5581,-67.5581,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-01-12,BULLISH,2026-01-12 12:10:00,2026-01-12 14:20:00,25578.3,25764.1131,25472.1211,25764.1131,106.1789,185.8131,1.75,1000.0,1750.0,100,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-01-16,BEARISH,2026-01-16 12:25:00,2026-01-16 15:00:00,25752.1,25697.3,25874.7876,25537.3967,122.6876,71.7719,0.585,1000.0,585.0,100,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-01-19,BULLISH,2026-01-19 11:00:00,2026-01-19 15:00:00,25556.6,25613.85,25493.0722,25667.7737,63.5278,58.8195,0.9259,1000.0,925.88,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-01-20,BULLISH,2026-01-20 11:50:00,2026-01-20 12:10:00,25488.95,25431.3256,25431.3256,25589.7928,57.6244,-57.6244,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-01-21,BULLISH,2026-01-21 12:10:00,2026-01-21 13:55:00,25136.15,25150.41,24918.5432,25516.9619,217.6068,45.6591,0.2098,1000.0,209.82,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-01-22,BEARISH,2026-01-22 10:15:00,2026-01-22 13:15:00,25341.3,25173.7951,25437.0171,25173.7951,95.7171,167.5049,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-01-29,BULLISH,2026-01-29 10:55:00,2026-01-29 13:05:00,25234.0,25366.058,25158.5383,25366.058,75.4617,132.058,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-02-01,BEARISH,2026-02-01 11:40:00,2026-02-01 12:15:00,25311.55,25082.9727,25442.1656,25082.9727,130.6156,228.5773,1.75,1000.0,1750.0,100,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-02-06,BULLISH,2026-02-06 11:05:00,2026-02-06 12:45:00,25559.1,25570.3512,25490.622,25678.9364,68.478,17.3392,0.2532,1000.0,253.21,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-02-10,BEARISH,2026-02-10 13:20:00,2026-02-10 15:00:00,25931.85,25951.4,25990.7466,25828.781,58.8966,-9.7134,-0.1649,1000.0,-164.92,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-02-12,BULLISH,2026-02-12 10:10:00,2026-02-12 11:20:00,25880.85,25827.106,25827.106,25974.9021,53.744,-53.744,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-02-13,BULLISH,2026-02-13 10:30:00,2026-02-13 13:45:00,25567.3,25512.0216,25512.0216,25664.0371,55.2784,-55.2784,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-02-25,BEARISH,2026-02-25 11:40:00,2026-02-25 12:45:00,25588.0,25472.7111,25653.8794,25472.7111,65.8794,115.2889,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-03-04,BULLISH,2026-03-04 11:05:00,2026-03-04 15:00:00,24450.9,24509.0,24304.1775,24707.6645,146.7225,80.2556,0.547,1000.0,546.99,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-03-05,BEARISH,2026-03-05 10:20:00,2026-03-05 10:45:00,24581.45,24657.9291,24657.9291,24447.6116,76.4791,-76.4791,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-03-16,BULLISH,2026-03-16 11:15:00,2026-03-16 15:00:00,23187.75,23401.7,22954.0906,23596.6539,233.6594,218.8773,0.9367,1000.0,936.74,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-03-17,BEARISH,2026-03-17 11:15:00,2026-03-17 13:30:00,23438.55,23578.7219,23578.7219,23193.2491,140.1719,-140.1719,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-03-18,BEARISH,2026-03-18 10:00:00,2026-03-18 10:45:00,23657.05,23755.8329,23755.8329,23484.18,98.7829,-98.7829,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-04-01,BEARISH,2026-04-01 10:25:00,2026-04-01 15:00:00,22796.5,22676.75,22942.4398,22541.1053,145.9398,126.2975,0.8654,1000.0,865.41,80,TIME_EXIT,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
NIFTY,2026-04-02,BULLISH,2026-04-02 10:55:00,2026-04-02 12:35:00,22243.7,22352.6588,22181.4378,22352.6588,62.2622,108.9588,1.75,1000.0,1750.0,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bull_put_spread
NIFTY,2026-04-08,BEARISH,2026-04-08 12:30:00,2026-04-08 13:35:00,23916.55,24015.1958,24015.1958,23743.9198,98.6458,-98.6458,-1.0,1000.0,-1000.0,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;bear_call_spread
