strategy_type,pivot_len,entry_retracement,target_type,target_rr,trades,win_rate,expectancy_rr,total_rr,max_drawdown_rr
Ratio,5,0.618,extreme,0.0,532,0.5526,0.801,426.1214,-6.0501
Ratio,5,0.786,rr_ratio,2.0,327,0.4648,0.5549,181.4622,-12.0
Ratio,5,0.705,extreme,0.0,395,0.4633,0.5125,202.4456,-7.5
Ratio,8,0.618,extreme,0.0,353,0.4986,0.4833,170.6211,-7.8829
Ratio,5,0.705,rr_ratio,2.0,390,0.4436,0.4422,172.4456,-7.5314
Ratio,5,0.618,extension_0272,0.0,487,0.4559,0.4032,196.3377,-10.5
Debit Spread,5,0.786,extreme,0.0,313,0.3674,0.399,124.8938,-13.9195
Ratio,8,0.786,rr_ratio,2.0,226,0.4336,0.3953,89.3441,-9.0
Debit Spread,5,0.618,extreme,0.0,532,0.5338,0.381,202.6958,-8.0754
Debit Spread,5,0.705,extreme,0.0,395,0.443,0.38,150.0832,-8.3474
Ratio,5,0.618,rr_ratio,2.0,478,0.4477,0.3769,180.1722,-11.3232
Debit Spread,5,0.618,extension_0272,0.0,487,0.4497,0.369,179.7157,-8.8732
Debit Spread,5,0.705,extension_0272,0.0,381,0.3648,0.3631,138.3374,-8.7097
Debit Spread,5,0.786,rr_ratio,2.0,327,0.4526,0.33,107.9229,-13.775
Debit Spread,5,0.786,extension_0272,0.0,305,0.2951,0.3182,97.0522,-25.2562
Ratio,8,0.705,extreme,0.0,283,0.4311,0.299,84.6179,-14.1169
Ratio,8,0.705,rr_ratio,2.0,282,0.4255,0.2721,76.7279,-14.9733
Debit Spread,5,0.786,rr_ratio,3.0,310,0.3387,0.267,82.7692,-16.775
Debit Spread,8,0.786,extreme,0.0,221,0.3439,0.2479,54.7937,-16.821
Ratio,5,0.786,extreme,0.0,313,0.3802,0.2309,72.2664,-14.7345
Debit Spread,5,0.705,rr_ratio,2.0,390,0.4231,0.2221,86.6166,-9.4158
Debit Spread,8,0.786,extension_0272,0.0,215,0.3116,0.218,46.8666,-24.2784
Debit Spread,5,0.705,rr_ratio,3.0,374,0.3369,0.2095,78.3383,-13.5513
Debit Spread,5,0.618,rr_ratio,2.0,478,0.4351,0.2057,98.3136,-13.3695
Debit Spread,5,0.618,rr_ratio,3.0,436,0.3853,0.1971,85.9289,-12.3172
Naked ATM Buy,5,0.786,rr_ratio,2.0,327,0.4465,0.1965,64.2673,-7.7458
Debit Spread,8,0.705,extreme,0.0,283,0.4028,0.1878,53.1583,-15.8737
Ratio,8,0.618,rr_ratio,2.0,329,0.4347,0.1836,60.4001,-21.1793
Debit Spread,8,0.786,rr_ratio,2.0,226,0.4115,0.1814,40.9981,-10.7744
Ratio,5,0.705,extension_0272,0.0,381,0.378,0.1749,66.6545,-9.3239
Ratio,8,0.618,extension_0272,0.0,331,0.432,0.1688,55.8879,-21.1793
Debit Spread,8,0.786,rr_ratio,3.0,220,0.3364,0.1631,35.8772,-21.4847
Debit Spread,8,0.618,extension_0272,0.0,331,0.4018,0.1608,53.2295,-21.7712
Debit Spread,8,0.618,extreme,0.0,353,0.4504,0.1603,56.578,-16.1556
Naked ATM Buy,5,0.786,extreme,0.0,313,0.361,0.146,45.7014,-8.5276
Naked ATM Buy,5,0.786,rr_ratio,3.0,310,0.3323,0.1362,42.2333,-10.3876
Debit Spread,8,0.705,extension_0272,0.0,270,0.3481,0.132,35.6512,-21.7516
Naked ATM Buy,5,0.705,extreme,0.0,395,0.4203,0.1312,51.8288,-6.2969
Naked ATM Buy,5,0.618,extreme,0.0,532,0.5132,0.1299,69.116,-7.0625
Ratio,5,0.786,rr_ratio,3.0,310,0.3516,0.1299,40.2664,-20.7345
Naked ATM Buy,5,0.705,rr_ratio,2.0,390,0.4,0.1229,47.9229,-6.2587
Naked ATM Buy,8,0.786,rr_ratio,2.0,226,0.3938,0.1179,26.6535,-6.4443
Naked ATM Buy,5,0.705,extension_0272,0.0,381,0.3412,0.1017,38.7507,-6.9933
Credit Spread,5,0.618,extreme,0.0,532,0.5526,0.1014,53.9232,-10.4342
Naked ATM Buy,5,0.705,rr_ratio,3.0,374,0.3128,0.0982,36.7403,-10.3878
Naked ATM Buy,5,0.618,extension_0272,0.0,487,0.423,0.098,47.7389,-7.9295
Ratio,8,0.786,extreme,0.0,221,0.362,0.0922,20.3744,-20.8311
Naked ATM Buy,5,0.618,rr_ratio,2.0,478,0.4079,0.0862,41.1891,-8.9321
