min_score,rr_target,symbols,trades,win_rate,expectancy_rr,total_rr,max_drawdown_rr
70,1.5,3,149,0.5839,0.3183,47.4311,-8.381
70,1.75,3,149,0.5772,0.369,54.9878,-8.2365
70,2.0,3,149,0.5705,0.363,54.0838,-7.7365
75,1.5,3,147,0.5918,0.3363,49.4311,-8.381
75,1.75,3,147,0.585,0.3877,56.9878,-8.2365
75,2.0,3,147,0.5782,0.3815,56.0838,-7.7365
80,1.5,3,147,0.5918,0.3363,49.4311,-8.381
80,1.75,3,147,0.585,0.3877,56.9878,-8.2365
80,2.0,3,147,0.5782,0.3815,56.0838,-7.7365
85,1.5,3,113,0.5487,0.1727,19.5145,-8.688
85,1.75,3,113,0.5487,0.2062,23.2966,-8.6912
85,2.0,3,113,0.5487,0.2007,22.6754,-8.5347
