symbol,date,direction,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,risk_points,pnl_points,rr_realized,risk_amount,pnl_amount,score,exit_reason,setup_notes
NIFTY,2025-12-09,BULLISH,2025-12-09 10:15:00,2025-12-09 12:20:00,25831.7,25910.4437,25726.7084,25910.4437,104.9916,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-10,BEARISH,2025-12-10 10:45:00,2025-12-10 10:55:00,25890.95,25847.4541,25948.9445,25847.4541,57.9945,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-11,BULLISH,2025-12-11 10:05:00,2025-12-11 10:30:00,25771.55,25829.5914,25694.1614,25829.5914,77.3886,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-12,BEARISH,2025-12-12 10:05:00,2025-12-12 10:25:00,25980.1,25943.7632,26028.549,25943.7632,48.449,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-15,BULLISH,2025-12-15 09:55:00,2025-12-15 10:45:00,25951.6,25987.7107,25903.4524,25987.7107,48.1476,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-16,BULLISH,2025-12-16 13:35:00,2025-12-16 14:15:00,25908.05,25869.1546,25869.1546,25937.2216,38.8954,-0.9091,-1.0,295.45,-295.45,80,STOP,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-18,BULLISH,2025-12-18 10:10:00,2025-12-18 10:20:00,25791.15,25840.7547,25725.0104,25840.7547,66.1396,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bull_put_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-19,BEARISH,2025-12-19 11:05:00,2025-12-19 11:40:00,25946.75,25921.402,25980.5473,25921.402,33.7973,9.0909,10.0,295.45,2954.55,100,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_volume;volume_expansion;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2025-12-24,BEARISH,2025-12-24 10:45:00,2025-12-24 11:40:00,26207.85,26185.4547,26237.7104,26185.4547,29.8604,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
NIFTY,2026-01-01,BEARISH,2026-01-01 09:55:00,2026-01-01 10:20:00,26157.2,26125.9566,26198.8579,26125.9566,41.6579,9.0909,10.0,295.45,2954.55,80,TARGET,BOS;liquidity_sweep;vwap_aligned;oi_proxy_partial;greeks_iv_proxy_ok;premium_momentum_proxy;lots=5;spread_width=10.0;bear_call_credit_spread;Credit;Mean-Reverting Grind
