symbol,timestamp,datetime,open,high,low,close,volume,open_interest
SENSEX,1765338360.0,2025-12-10 09:16:00,84677.83,84774.31,84637.77,84774.31,53439.0,0.0
SENSEX,1765338420.0,2025-12-10 09:17:00,84774.17,84844.46,84767.2,84803.33,40185.0,0.0
SENSEX,1765338480.0,2025-12-10 09:18:00,84799.03,84850.29,84782.93,84847.83,32778.0,0.0
SENSEX,1765338540.0,2025-12-10 09:19:00,84848.72,84870.97,84804.34,84810.08,32093.0,0.0
SENSEX,1765338600.0,2025-12-10 09:20:00,84802.23,84824.36,84753.55,84754.99,33450.0,0.0
SENSEX,1765338660.0,2025-12-10 09:21:00,84757.06,84804.0,84744.75,84769.16,29451.0,0.0
SENSEX,1765338720.0,2025-12-10 09:22:00,84775.49,84778.38,84755.74,84773.67,22070.0,0.0
SENSEX,1765338780.0,2025-12-10 09:23:00,84773.73,84795.53,84772.45,84791.22,18526.0,0.0
SENSEX,1765338840.0,2025-12-10 09:24:00,84790.01,84794.4,84733.74,84733.74,25201.0,0.0
SENSEX,1765338900.0,2025-12-10 09:25:00,84732.82,84740.02,84683.81,84732.11,31522.0,0.0
SENSEX,1765338960.0,2025-12-10 09:26:00,84738.7,84794.81,84723.77,84787.49,11929.0,0.0
SENSEX,1765339020.0,2025-12-10 09:27:00,84786.71,84791.98,84768.34,84786.95,16621.0,0.0
SENSEX,1765339080.0,2025-12-10 09:28:00,84790.26,84802.01,84785.2,84793.07,10228.0,0.0
SENSEX,1765339140.0,2025-12-10 09:29:00,84793.97,84850.94,84789.2,84830.48,82616.0,0.0
SENSEX,1765339200.0,2025-12-10 09:30:00,84830.52,84895.61,84830.09,84849.29,29862.0,0.0
SENSEX,1765339260.0,2025-12-10 09:31:00,84846.61,84889.1,84840.19,84875.91,67764.0,0.0
SENSEX,1765339320.0,2025-12-10 09:32:00,84877.29,84900.69,84877.29,84899.84,17950.0,0.0
SENSEX,1765339380.0,2025-12-10 09:33:00,84900.9,84906.4,84865.6,84868.19,15410.0,0.0
SENSEX,1765339440.0,2025-12-10 09:34:00,84869.65,84906.82,84861.79,84905.16,10059.0,0.0
SENSEX,1765339500.0,2025-12-10 09:35:00,84904.7,84927.72,84897.11,84897.11,10765.0,0.0
SENSEX,1765339560.0,2025-12-10 09:36:00,84898.93,84911.41,84890.17,84908.68,13087.0,0.0
SENSEX,1765339620.0,2025-12-10 09:37:00,84905.63,84945.48,84905.63,84941.18,13028.0,0.0
SENSEX,1765339680.0,2025-12-10 09:38:00,84939.3,84941.77,84900.54,84911.34,21428.0,0.0
SENSEX,1765339740.0,2025-12-10 09:39:00,84910.99,84935.2,84906.85,84933.2,26026.0,0.0
SENSEX,1765339800.0,2025-12-10 09:40:00,84933.18,84936.9,84887.03,84910.17,11984.0,0.0
SENSEX,1765339860.0,2025-12-10 09:41:00,84908.53,84919.76,84906.41,84919.76,27012.0,0.0
SENSEX,1765339920.0,2025-12-10 09:42:00,84919.76,84933.99,84917.73,84933.99,11043.0,0.0
SENSEX,1765339980.0,2025-12-10 09:43:00,84933.99,84935.96,84906.38,84915.56,18527.0,0.0
SENSEX,1765340040.0,2025-12-10 09:44:00,84915.56,84915.7,84876.41,84899.64,53279.0,0.0
SENSEX,1765340100.0,2025-12-10 09:45:00,84900.85,84928.31,84900.52,84923.63,8268.0,0.0
SENSEX,1765340160.0,2025-12-10 09:46:00,84922.97,84934.28,84920.7,84932.61,13764.0,0.0
SENSEX,1765340220.0,2025-12-10 09:47:00,84934.45,84942.01,84930.76,84934.64,11343.0,0.0
SENSEX,1765340280.0,2025-12-10 09:48:00,84930.88,84930.88,84894.46,84899.92,11462.0,0.0
SENSEX,1765340340.0,2025-12-10 09:49:00,84898.34,84898.34,84854.02,84854.02,14876.0,0.0
SENSEX,1765340400.0,2025-12-10 09:50:00,84854.02,84854.02,84837.55,84847.34,10622.0,0.0
SENSEX,1765340460.0,2025-12-10 09:51:00,84853.22,84875.47,84842.36,84845.54,12918.0,0.0
SENSEX,1765340520.0,2025-12-10 09:52:00,84844.96,84844.96,84834.17,84834.22,14055.0,0.0
SENSEX,1765340580.0,2025-12-10 09:53:00,84836.77,84839.36,84830.37,84836.62,6393.0,0.0
SENSEX,1765340640.0,2025-12-10 09:54:00,84833.38,84860.42,84821.79,84830.61,19734.0,0.0
SENSEX,1765340700.0,2025-12-10 09:55:00,84828.83,84830.07,84795.32,84800.63,8069.0,0.0
SENSEX,1765340760.0,2025-12-10 09:56:00,84802.24,84828.2,84798.16,84821.04,15373.0,0.0
SENSEX,1765340820.0,2025-12-10 09:57:00,84822.17,84824.95,84799.51,84799.51,11778.0,0.0
SENSEX,1765340880.0,2025-12-10 09:58:00,84798.59,84829.64,84792.43,84795.88,8784.0,0.0
SENSEX,1765340940.0,2025-12-10 09:59:00,84795.94,84804.57,84773.29,84793.31,17604.0,0.0
SENSEX,1765341000.0,2025-12-10 10:00:00,84806.62,84819.34,84794.16,84797.21,18268.0,0.0
SENSEX,1765341060.0,2025-12-10 10:01:00,84797.99,84840.08,84793.84,84834.51,12882.0,0.0
SENSEX,1765341120.0,2025-12-10 10:02:00,84836.79,84867.76,84834.06,84865.53,14390.0,0.0
SENSEX,1765341180.0,2025-12-10 10:03:00,84867.15,84905.2,84867.15,84900.15,34574.0,0.0
SENSEX,1765341240.0,2025-12-10 10:04:00,84900.11,84902.43,84857.96,84874.42,8212.0,0.0
SENSEX,1765341300.0,2025-12-10 10:05:00,84874.42,84886.25,84855.68,84886.25,7089.0,0.0
SENSEX,1765341360.0,2025-12-10 10:06:00,84888.08,84909.48,84885.72,84905.73,6114.0,0.0
SENSEX,1765341420.0,2025-12-10 10:07:00,84904.84,84908.46,84898.48,84900.69,4944.0,0.0
SENSEX,1765341480.0,2025-12-10 10:08:00,84900.97,84930.01,84900.97,84930.01,5407.0,0.0
SENSEX,1765341540.0,2025-12-10 10:09:00,84926.35,84936.82,84886.68,84889.64,13297.0,0.0
SENSEX,1765341600.0,2025-12-10 10:10:00,84893.97,84938.98,84892.05,84901.98,15100.0,0.0
SENSEX,1765341660.0,2025-12-10 10:11:00,84907.57,84924.38,84892.04,84924.38,12842.0,0.0
SENSEX,1765341720.0,2025-12-10 10:12:00,84925.67,84942.23,84924.59,84938.48,7692.0,0.0
SENSEX,1765341780.0,2025-12-10 10:13:00,84938.48,84944.38,84934.41,84944.21,11988.0,0.0
SENSEX,1765341840.0,2025-12-10 10:14:00,84944.21,84959.08,84909.28,84916.72,16505.0,0.0
SENSEX,1765341900.0,2025-12-10 10:15:00,84916.14,84985.58,84916.14,84958.34,23723.0,0.0
SENSEX,1765341960.0,2025-12-10 10:16:00,84951.2,84983.25,84941.23,84975.87,9763.0,0.0
SENSEX,1765342020.0,2025-12-10 10:17:00,84975.23,84985.69,84937.37,84939.27,5737.0,0.0
SENSEX,1765342080.0,2025-12-10 10:18:00,84935.04,84970.62,84926.87,84940.11,8294.0,0.0
SENSEX,1765342140.0,2025-12-10 10:19:00,84939.65,84959.95,84936.01,84957.63,5929.0,0.0
SENSEX,1765342200.0,2025-12-10 10:20:00,84971.7,84996.52,84967.29,84967.68,13028.0,0.0
SENSEX,1765342260.0,2025-12-10 10:21:00,84969.68,84982.86,84956.38,84982.86,10672.0,0.0
SENSEX,1765342320.0,2025-12-10 10:22:00,84985.52,84992.03,84948.68,84974.14,4783.0,0.0
SENSEX,1765342380.0,2025-12-10 10:23:00,84974.49,84989.32,84969.17,84989.32,7902.0,0.0
SENSEX,1765342440.0,2025-12-10 10:24:00,84990.08,84993.5,84950.83,84959.66,11432.0,0.0
SENSEX,1765342500.0,2025-12-10 10:25:00,84959.49,84997.26,84953.49,84960.55,8556.0,0.0
SENSEX,1765342560.0,2025-12-10 10:26:00,84960.06,85020.34,84960.06,85013.61,8756.0,0.0
SENSEX,1765342620.0,2025-12-10 10:27:00,85014.66,85014.66,84969.7,84971.19,8714.0,0.0
SENSEX,1765342680.0,2025-12-10 10:28:00,84969.97,85005.72,84954.71,84954.71,9927.0,0.0
SENSEX,1765342740.0,2025-12-10 10:29:00,84955.22,84955.22,84902.72,84905.36,56429.0,0.0
SENSEX,1765342800.0,2025-12-10 10:30:00,84903.59,84970.13,84903.59,84957.56,509928.0,0.0
SENSEX,1765342860.0,2025-12-10 10:31:00,84968.7,84977.14,84933.66,84958.14,14610.0,0.0
SENSEX,1765342920.0,2025-12-10 10:32:00,84960.55,84968.57,84923.94,84960.12,21406.0,0.0
SENSEX,1765342980.0,2025-12-10 10:33:00,84952.37,84958.77,84929.05,84953.11,9418.0,0.0
SENSEX,1765343040.0,2025-12-10 10:34:00,84954.53,84955.78,84922.8,84945.97,11079.0,0.0
SENSEX,1765343100.0,2025-12-10 10:35:00,84944.7,84978.54,84942.2,84976.82,7645.0,0.0
SENSEX,1765343160.0,2025-12-10 10:36:00,84976.82,85001.01,84976.82,84988.17,9662.0,0.0
SENSEX,1765343220.0,2025-12-10 10:37:00,84984.12,84989.76,84944.12,84953.06,8078.0,0.0
SENSEX,1765343280.0,2025-12-10 10:38:00,84955.24,84956.53,84940.28,84947.52,6377.0,0.0
SENSEX,1765343340.0,2025-12-10 10:39:00,84945.88,84963.38,84939.88,84943.84,6863.0,0.0
SENSEX,1765343400.0,2025-12-10 10:40:00,84943.69,84945.16,84894.26,84919.84,10938.0,0.0
SENSEX,1765343460.0,2025-12-10 10:41:00,84923.65,84926.49,84904.87,84910.44,9223.0,0.0
SENSEX,1765343520.0,2025-12-10 10:42:00,84910.57,84920.83,84895.62,84904.94,7648.0,0.0
SENSEX,1765343580.0,2025-12-10 10:43:00,84907.48,84920.5,84894.05,84920.5,7175.0,0.0
SENSEX,1765343640.0,2025-12-10 10:44:00,84920.88,84944.25,84920.14,84940.19,4644.0,0.0
SENSEX,1765343700.0,2025-12-10 10:45:00,84940.19,84945.89,84911.61,84914.49,5555.0,0.0
SENSEX,1765343760.0,2025-12-10 10:46:00,84914.14,84921.14,84897.02,84911.75,7928.0,0.0
SENSEX,1765343820.0,2025-12-10 10:47:00,84912.81,84912.81,84862.25,84863.87,9714.0,0.0
SENSEX,1765343880.0,2025-12-10 10:48:00,84863.81,84898.55,84856.94,84857.22,5933.0,0.0
SENSEX,1765343940.0,2025-12-10 10:49:00,84859.35,84894.25,84823.84,84855.96,12498.0,0.0
SENSEX,1765344000.0,2025-12-10 10:50:00,84853.65,84855.36,84796.37,84814.83,16653.0,0.0
SENSEX,1765344060.0,2025-12-10 10:51:00,84821.05,84821.05,84776.01,84792.66,13340.0,0.0
SENSEX,1765344120.0,2025-12-10 10:52:00,84793.52,84807.81,84769.68,84771.22,21031.0,0.0
