Date,Trades,Wins,Losses,Win Rate (%),Net PnL (INR)
2026-06-21,3,3,0,100.0,780.0
2026-06-18,3,3,0,100.0,780.0
2026-06-17,3,3,0,100.0,780.0
2026-06-16,7,7,0,100.0,1820.0
2026-05-22,7,6,1,85.71,2512.25
2026-05-21,18,13,5,72.22,4708.0
2026-05-20,3,2,1,66.67,-2895.0
2026-05-19,4,3,1,75.0,-29.25
2026-05-18,3,1,2,33.33,-1033.5
2026-05-15,1,1,0,100.0,1855.75
2026-05-14,5,2,3,40.0,1049.5
2026-05-13,3,1,2,33.33,-784.0
2026-05-12,8,5,3,62.5,-8602.5
2026-05-11,1,1,0,100.0,2161.25
2026-05-08,3,1,2,33.33,-926.25
2026-05-07,2,1,1,50.0,3337.0
