score_gate,min_rr,drift_atr,slippage_bps,trades,win_rate,expectancy_rr,total_rr,max_drawdown_rr
90,1.0,0.25,0.0,42,0.7143,0.6978,29.3066,-3.0
90,1.0,1.0,0.0,42,0.7143,0.6978,29.3066,-3.0
90,1.0,0.5,0.0,42,0.7143,0.6978,29.3066,-3.0
70,1.0,0.5,0.0,72,0.5833,0.3704,26.6652,-7.0774
80,1.0,1.0,0.0,72,0.5833,0.3704,26.6652,-7.0774
70,1.0,1.0,0.0,72,0.5833,0.3704,26.6652,-7.0774
80,1.0,0.5,0.0,72,0.5833,0.3704,26.6652,-7.0774
70,1.0,0.25,0.0,69,0.5797,0.3819,26.3527,-6.0774
80,1.0,0.25,0.0,69,0.5797,0.3819,26.3527,-6.0774
90,1.25,0.25,0.0,25,0.68,0.7566,18.9162,-4.0
90,1.25,1.0,0.0,26,0.6538,0.6891,17.9162,-4.0
90,1.25,0.5,0.0,26,0.6538,0.6891,17.9162,-4.0
90,1.0,1.0,1.5,29,0.6552,0.5118,14.8412,-3.5861
90,1.0,0.25,1.5,29,0.6552,0.5118,14.8412,-3.5861
90,1.0,0.5,1.5,29,0.6552,0.5118,14.8412,-3.5861
70,1.25,0.25,0.0,45,0.4889,0.2806,12.6252,-7.0774
80,1.25,0.25,0.0,45,0.4889,0.2806,12.6252,-7.0774
80,1.25,1.0,0.0,46,0.4783,0.2527,11.6252,-8.0774
80,1.25,0.5,0.0,46,0.4783,0.2527,11.6252,-8.0774
70,1.25,0.5,0.0,46,0.4783,0.2527,11.6252,-8.0774
70,1.25,1.0,0.0,46,0.4783,0.2527,11.6252,-8.0774
90,1.5,1.0,0.0,11,0.5455,0.7504,8.2546,-2.0
90,1.5,0.25,0.0,11,0.5455,0.7504,8.2546,-2.0
90,1.5,0.5,0.0,11,0.5455,0.7504,8.2546,-2.0
80,1.0,1.0,1.5,46,0.4783,0.1321,6.0782,-6.8906
70,1.0,1.0,1.5,46,0.4783,0.1321,6.0782,-6.8906
70,1.0,0.5,1.5,46,0.4783,0.1321,6.0782,-6.8906
70,1.0,0.25,1.5,46,0.4783,0.1321,6.0782,-6.8906
80,1.0,0.5,1.5,46,0.4783,0.1321,6.0782,-6.8906
80,1.0,0.25,1.5,46,0.4783,0.1321,6.0782,-6.8906
80,1.75,0.25,0.0,19,0.4211,0.2937,5.581,-4.0774
70,1.75,0.25,0.0,19,0.4211,0.2937,5.581,-4.0774
70,1.5,0.5,0.0,27,0.4074,0.1915,5.1698,-5.0774
